month,day,year,budget,domestic,worldwide
Nov,10,2004,170,186.493587,310.634169
Jul,30,1999,70,152.257509,310.138178
Nov,4,2005,60,135.386665,310.043823
Nov,8,1996,70,136.492681,308.7
Jan,27,2017,40,26.844692,307.353906
Dec,15,2006,55,162.586036,307.325633
Dec,15,2006,55,162.586036,307.325633
Jun,6,2014,12,124.87235,307.166834
Nov,21,2012,145,103.412758,306.900902
Dec,27,2002,30,170.687518,306.770545
Nov,20,2009,35,255.959475,305.705794
Aug,11,2017,15,102.092201,305.492201
Mar,30,2012,150,83.670083,305.270083
May,18,2012,209,65.2334,305.218228
Feb,14,2013,92,67.349198,304.249198
Jun,19,1998,90,120.620254,303.5
Mar,21,1997,45,181.410615,302.710615
Aug,7,2009,175,150.201498,302.469017
Dec,21,2016,110,100.014699,302.212434
Dec,11,1991,70,119.654823,300.854823
May,22,1985,44,150.415432,300.4
Dec,15,1978,55,134.218018,300.2
Dec,15,1978,55,134.218018,300.2
May,7,2004,170,120.150546,300.150546
Mar,14,2008,85,154.529439,299.477886
Feb,19,2010,80,128.012934,299.461782
Jun,20,1997,46,126.813153,298.923419
Dec,17,1999,105,140.015224,298.815224
Jul,14,2000,75,157.299717,296.872367
Sep,30,2016,110,87.242834,296.642834
Jul,25,2002,63,213.117789,296.338663
Sep,10,2010,57.5,60.128566,295.87419
Sep,10,2010,57.5,60.128566,295.87419
Nov,17,2017,20,132.166669,295.459836
Mar,20,2015,110,130.179072,295.279072
Jun,8,1984,30,242.212467,295.212467
May,27,2010,95,95.347692,294.680778
Jun,26,1998,71.5,144.156605,294.156605
Jul,24,2009,150,119.43677,292.817841
Dec,10,1999,60,136.801374,290.701374
Jul,23,2010,130,118.311368,290.650494
Dec,15,2017,111,83.170864,289.959445
Oct,6,2006,90,132.384315,289.660619
May,13,2011,32.5,169.211718,289.632023
Jun,15,2007,120,131.921738,289.480691
Jul,21,2000,90,155.464351,288.693989
Jul,23,2004,85,176.08745,288.58745
Apr,19,2013,120,89.107235,287.916633
May,15,2015,29,184.29623,287.641616
Nov,2,2007,150,126.631277,287.594577
Jul,17,2013,135,83.02813,286.896578
Aug,10,2001,30,145.09682,286.5
Mar,2,1965,8.2,163.214286,286.214286
Aug,9,2013,120,93.050117,286.192091
Jul,10,1998,140,130.444603,285.4
Jul,15,2005,40,209.218368,283.218368
Jun,10,1994,30,121.248145,283.2
Mar,9,2012,275,73.058679,282.7781
May,26,1995,55,100.328194,282.3
May,26,1995,55,100.328194,282.3
Apr,13,2001,25,71.500556,281.527158
Aug,10,2012,125,113.20387,280.35592
Dec,11,1998,26,100.317794,279.5
Jan,26,2018,61,57.2672,279.316181
Dec,10,2010,100,67.631157,278.731369
Jan,20,2017,5,138.141585,278.449984
May,27,2016,170,77.042381,277.442381
Jul,7,2000,19,157.019771,277.2
May,20,1987,20,153.665036,276.665036
Jun,14,2002,84,153.294164,276.294164
Mar,21,2014,85,150.947895,276.014965
Feb,14,1991,20,130.726716,275.726716
Sep,20,2002,19,10.049886,274.949886
Dec,12,2008,25,148.095302,274.543085
Oct,24,2008,11,90.559416,274.39288
Sep,27,2013,78,119.793567,274.392649
Jun,28,1996,55,128.814019,273.814019
Jun,28,1996,55,128.814019,273.814019
Nov,9,2012,65,182.207973,273.346281
Jun,15,2001,94,131.144183,273.330185
Jul,18,2003,130,138.54087,273.271982
Jun,25,2010,75,162.001186,272.22343
Nov,25,2009,105,104.400899,270.997378
May,9,2014,18,150.0868,270.944428
Jun,30,1993,42,158.340892,270.340892
Mar,7,2014,145,111.50643,269.80643
Mar,7,2008,105,94.784201,269.065678
Mar,15,1972,7,134.966411,268.5
Dec,12,2014,140,65.014513,268.314513
Aug,13,2010,82,103.068524,268.268174
Aug,13,1942,0.858,102.797,268
Nov,2,2007,100,130.164645,267.985456
Aug,7,2013,37,150.394119,267.816276
Aug,9,2002,70,141.93,267.2
Jun,18,1992,80,162.833635,266.824291
Dec,12,2003,80,124.685242,266.685242
Jun,13,2008,137.5,134.806913,265.573859
Jul,28,1995,175,88.24622,264.24622
Jun,5,1998,60,125.618201,264.118201
May,9,1997,95,63.570862,263.898761
Oct,7,2011,110,85.463309,263.880341
Feb,15,1950,2.9,85,263.591415
Apr,28,2017,30,18.985794,263.585794
May,24,2013,100,107.518682,262.794441
Dec,15,1995,65,100.45831,262.75831
Nov,3,2006,18,128.505958,261.443242
Jun,1,1990,65,119.394839,261.4
Mar,11,2005,80,128.200012,260.700012
Jul,2,2013,275,89.302115,260.002115
Nov,3,2000,90,125.305545,259.73609
Jan,16,2015,55,76.223578,259.54143
Jan,16,2015,55,76.223578,259.54143
Oct,6,2017,185,92.054159,259.103376
Jun,23,2010,117,76.423035,258.75137
Dec,18,1985,31,79.096868,258.21086
Aug,13,1997,3.5,45.950122,257.938649
Dec,13,2013,40,150.117807,257.878294
Jul,30,2004,71.682975,114.19752,257.641634
Oct,3,2014,6.5,84.273813,256.86292
Aug,10,2007,180,140.125968,256.585882
Feb,24,2017,5,176.040665,255.090124
May,28,1993,65,84.049211,255
Mar,2,2007,60,168.213584,253.555383
Dec,22,2010,35,171.243005,252.276928
Oct,28,2009,60,72.091016,252.091016
May,31,2013,130,60.522097,251.499665
Dec,18,1998,65,115.821495,250.8
Jun,13,1997,70,99.112101,250.7
Nov,20,1998,85,111.549836,250.649836
Nov,6,2015,99,130.178411,250.474038
Nov,15,1996,80,90.463534,250.2
Dec,18,2015,90,85.886987,249.52043
Dec,15,2006,100,75.030163,249.488115
Jul,14,1999,0.6,140.539099,248.3
Oct,18,2002,48,129.094024,248.218486
Nov,22,2000,73.243106,94.999143,248.099143
Nov,7,2003,45,59.472278,247.946915
Dec,25,2008,60,143.153751,247.812011
Jul,25,2008,16,1.47765,247.474497
Jul,12,2013,80,133.668525,247.023808
Dec,16,1994,16,127.175374,246.4
Aug,4,1995,30,63.65891,246.1
Jun,21,2002,80,145.771527,245.8
Nov,8,2002,41,116.724075,245.768384
Mar,4,2011,135,123.477607,245.7246
Jun,3,2016,135,82.051601,245.623848
Sep,18,1998,35,141.186864,245.3
Jun,20,2003,137,132.177234,245.075434
Jul,24,2015,90,78.765986,244.144701
May,24,1990,40,88.055283,244.088654
Jul,25,2014,100,72.688614,243.388614
Jul,11,2008,45,101.70437,243.180937
Feb,12,2014,120,58.607007,242.981799
Mar,9,1994,4.5,52.700832,242.895809
Jun,27,1997,80,112.276146,241.2
Dec,21,2016,125,54.647948,240.497948
Jul,3,1990,70,117.323878,239.814025
May,25,1988,14,109.30621,239.60621
Jun,2,1989,16.4,95.860116,239.5
Dec,20,2011,90,102.515793,239.37397
Sep,14,2012,65,42.345531,238.940997
May,19,2017,97,74.262031,238.862031
Sep,9,2016,60,125.070033,238.552082
Jun,20,1997,125,107.325195,238.317814
May,11,2012,150,79.727149,238.202668
Jun,10,2005,24,4.710455,237.814327
Jun,23,2006,82.5,137.355633,237.685089
Sep,18,2009,100,124.870275,236.827677
Dec,11,1992,33,141.340178,236.5
Nov,16,2012,21,132.092958,236.412453
Jun,6,2003,76,127.120058,236.410607
Jun,29,2001,90,78.616689,235.9
Aug,24,2007,25,33.302167,234.981342
Jul,9,1999,12,101.800948,234.723148
Jun,21,1996,100,101.295562,234.4
Jul,17,1998,65,93.828745,233.7
Jun,5,2015,65,110.825712,233.125712
Dec,12,2008,80,79.366978,233.066978
Jun,9,2000,103.3,101.643008,232.643008
Dec,25,2010,112,42.779261,232.017848
Dec,15,2004,30,100.492203,231.928227
Dec,25,2016,25,169.607287,231.800856
Nov,15,1996,35,78.716374,231.710008
Dec,5,2007,7,143.495265,231.450102
Jun,28,2013,43,159.581587,229.727774
Feb,16,2007,120,115.802596,229.545589
Oct,23,1998,20,57.598247,229.385361
Jan,14,2011,110,98.780042,229.155503
Jul,15,2016,144,128.350574,229.03405
Jun,25,1999,30,163.479795,228.641283
Jun,28,2017,34,107.825862,228.104185
Jun,21,2000,42,106.793915,227.793915
Nov,28,2014,15,91.125143,227.773686
Jun,27,2003,120,100.814328,227.2
Oct,12,2012,44.5,136.025503,227.140757
Jan,30,2009,25,145.000989,226.941585
Jun,20,2008,80,130.319208,226.739416
Dec,5,1997,10,138.433435,225.925989
