month,day,year,budget,domestic,worldwide
Jul,26,2006,8,59.891098,100.642353
May,11,2001,41,56.083966,100.622586
Aug,30,2013,5,44.467206,100.486616
Dec,22,1999,60,75.530832,100.230832
Apr,1,2011,1.5,54.00915,99.870886
Apr,2,2004,60,59.623958,99.823958
Mar,21,1980,0.2,8.75,99.75
Feb,12,2016,37,46.843513,99.595932
Dec,23,1994,35,33.423,99.423
Jun,16,2006,32,80.197993,99.296462
Nov,21,2007,17.5,39.687694,99.135571
Oct,16,2009,100,77.233467,99.123656
Feb,11,2011,13,73.01391,99.034125
Apr,14,2006,80,37.384046,99.010667
Mar,8,2002,80,56.684819,98.98359
Nov,22,2013,12,37.709979,98.963392
Sep,18,2015,53,62.575678,98.837872
Sep,18,2015,53,62.575678,98.837872
Dec,25,2003,60,53.789313,98.819789
Jun,28,1978,15,98.8,98.8
Jul,12,1996,7,0.659,98.754
Aug,13,1999,55,66.458769,98.699769
Aug,13,1999,55,66.458769,98.699769
Sep,11,2015,5,65.206105,98.689296
Jan,13,2012,25,66.528,98.406855
Jul,28,2017,30,51.573925,98.368372
Jun,8,2001,80,38.311134,98.341932
Jun,12,1987,18,59.735548,98.267558
Sep,20,2013,38,26.947624,98.230839
Jan,20,2012,100,0.311434,98.227017
Jan,21,2005,20,82.674398,98.114471
Jan,1,1971,0.8,98,98
Apr,4,2003,11,46.566212,97.837138
Aug,20,2010,35,29.197642,97.799865
Apr,5,2013,17,54.239856,97.778356
Apr,23,2004,37,57.139723,97.658712
Dec,20,1974,7,21,97.6
Apr,16,2010,28,48.071303,97.531134
Mar,12,2010,100,35.497337,97.52302
Apr,12,2013,40,95.020213,97.470701
Sep,12,2003,29,56.330657,97.413527
Jul,23,1999,75,97.387965,97.387965
Jan,28,2011,37,33.047633,97.143987
Dec,27,2002,25,41.675994,97.030468
Mar,16,2001,85,51.396781,96.971293
Nov,4,2005,72,62.64754,96.94754
Aug,25,2017,30,21.85807,96.92307
Dec,6,1991,27,74.888996,96.9
Jun,26,2009,27.5,49.20023,96.673002
Aug,19,2005,26,57.891803,96.666486
Apr,20,2012,25,60.457138,96.633833
Jul,2,2014,20,84.525432,96.407655
Feb,26,1999,40,36.443442,96.398826
Jun,11,2004,100,59.475623,96.221971
Jul,30,2004,80,65.948711,96.148711
Feb,11,2000,20,45.542421,96.147688
Mar,23,2007,35,54.149098,96.096018
Sep,23,2011,37,72.286779,96.068724
Nov,17,2000,82,34.543701,96.024898
Apr,15,2011,40,38.180928,95.98959
Nov,17,1989,30,60.857262,95.857262
May,22,2015,35,47.425125,95.825125
Jun,4,1982,12,78.912963,95.8
Sep,19,2003,22,51.97069,95.708457
Jan,23,2004,13,57.924679,95.638592
Jun,4,2010,75,47.059963,95.572749
Mar,23,2007,60,47.003582,95.53856
Dec,25,2003,100,48.41785,95.255485
Nov,25,2009,35,49.49206,95.104304
Mar,1,2002,17,37.939782,95.092667
Sep,29,2006,70,55.011732,94.97354
Mar,4,2005,75,55.849401,94.944017
Dec,11,2009,95,44.114232,94.894448
Dec,14,1979,32,34.175,94.875
Sep,6,2013,38,42.025135,94.763758
Jan,26,2001,28,60.400856,94.728529
Nov,7,2008,28,67.300955,94.500826
Aug,8,2014,22,54.235441,94.270488
Sep,30,1994,45,46.815,94.215
Jul,24,2015,30,52.421953,94.207861
Feb,14,2013,28,71.39912,94.050951
Jun,7,2013,58,44.672764,93.672764
Jun,7,2013,58,44.672764,93.672764
Feb,18,2005,13.5,5.50194,93.631744
Dec,18,1985,15,93.589701,93.589701
May,13,2016,27,41.012075,93.469699
May,9,2008,120,43.945766,93.394462
Dec,19,2003,10,31.011616,93.074616
Oct,5,2007,21.5,49.033882,92.987651
Jul,14,1989,16,92.823546,92.96196
Dec,10,1999,18,65.535067,92.935067
Dec,3,2004,12,11.050094,92.863945
Mar,31,2010,20,62.950384,92.678948
Feb,13,2009,17,65.002019,92.670237
Mar,9,2007,12,2.201923,92.618117
Dec,28,2001,22,40.270895,92.542418
Aug,12,2005,30,74.494381,92.494381
Dec,16,2005,18,60.062868,92.357499
Mar,20,2009,40,72.01301,92.302502
Aug,12,2005,40,47.907715,92.256918
Nov,6,2015,20,45.055776,92.217729
Mar,12,2004,40,47.958031,92.111551
Jan,7,2005,10,56.09436,92.09436
Jul,27,2007,28,43.107979,91.943956
Nov,27,2002,100,38.120554,91.8
Mar,11,2011,42,37.662162,91.678442
Mar,25,2016,18,59.689605,91.651878
Jun,4,2010,40,61.153526,91.455875
May,29,2009,30,42.100625,91.388487
Dec,9,2016,45,54.767494,91.342494
Jun,7,2013,3,64.473115,91.266581
Jan,7,2011,40,24.827228,91.1266
Mar,22,2000,25,55.973336,91.03676
Jun,22,1984,8,90.815558,90.815558
Jan,17,2003,60,66.723216,90.723216
Aug,11,2000,40,37.752931,90.717684
Dec,17,1976,23,52.614445,90.614445
Nov,24,2010,55,39.440655,90.552675
Nov,24,2010,55,39.440655,90.552675
Dec,24,1999,45,71.423726,90.523726
Feb,20,2009,17.5,90.508336,90.508336
Dec,19,2008,60,50.877145,90.482317
Aug,25,2000,10,68.35355,90.45355
Dec,11,2015,100,25.020758,90.420758
Jan,31,2003,26,46.896664,90.396664
Mar,6,2015,10,33.078266,90.384306
Oct,20,2000,48,37.879996,90.376224
Dec,21,2012,35,67.544505,90.221182
Jan,14,2005,30,49.772522,89.95554
Mar,25,2011,75,36.392502,89.758389
Jul,9,2004,25,84.136909,89.476265
Sep,10,1999,32,50.041732,89.441732
Nov,1,2013,12,15.323921,89.309178
Jan,23,2009,35,45.802315,89.102315
Sep,2,2005,32,43.095856,88.978458
Dec,25,2005,70,42.99614,88.933562
Apr,17,2009,60,37.017955,88.83221
Aug,19,2016,95,26.410477,88.7251
Jun,8,2007,15.5,10.299782,88.611837
Jun,27,2014,40,4.563029,88.06988
Dec,28,2005,15,23.089926,87.973835
Jul,2,2014,30,30.577122,87.956618
Jul,31,1997,40,54.979992,87.949859
Oct,12,2012,3,48.086903,87.727807
Dec,25,2001,109,58.183966,87.683966
Apr,28,2006,55,71.724497,87.473024
Apr,28,2006,55,71.724497,87.473024
Dec,17,1999,90,58.220776,87.420776
Feb,5,1953,4,87.4,87.4
Jan,3,2014,5,32.462372,87.251115
Nov,3,2006,9.4,12.899867,87.226613
Feb,25,2011,68,45.060734,87.173475
Mar,18,2011,40,58.0092,87.145086
Mar,10,2006,60,61.123569,87.123569
Dec,15,1995,58,53.458319,87.1
Dec,15,1995,58,53.458319,87.1
Dec,29,2006,16,37.634615,87.041569
Jun,1,1984,18,76.471046,87
Jun,28,1991,23,86.930411,86.930411
Jan,26,2007,20,39.739367,86.858578
Jul,30,2010,69,73.026337,86.796502
Apr,22,2010,80,19.422319,86.78753
May,30,2014,40,42.720965,86.778557
Feb,21,2003,24,75.155,86.765463
Sep,23,2011,35,28.087155,86.648359
Aug,17,2001,48,56.607223,86.607223
Sep,28,2007,72.5,47.46725,86.509602
Aug,31,2005,25.5,33.579798,86.301599
Dec,15,1974,2.8,86.3,86.3
Sep,7,2012,5.7,0.035955,86.05132
Aug,18,2000,35,61.280963,85.911226
Oct,17,2008,35,40.689393,85.763888
Mar,7,2003,75,43.632458,85.632458
Feb,18,2000,24,57.262492,85.527867
Jul,24,2015,12,32.000304,85.5123
Dec,16,2016,36,31.016021,85.31507
Jun,26,1981,10,85.3,85.3
Sep,22,2006,11,72.778712,85.278712
Feb,17,2006,20,48.548426,85.146165
Jul,11,2001,137,32.13183,85.13183
Feb,10,1982,12,11.487676,84.970337
Jan,25,2008,30,38.233676,84.646831
Nov,9,2011,35,37.30603,84.60603
Sep,18,2015,30,46.889293,84.448946
Feb,9,1940,2.289247,84.3,84.3
May,13,2011,60,29.136626,84.154026
Dec,31,2006,42,0,83.833602
Aug,18,2006,16.5,39.868642,83.792062
Aug,20,2010,24,25.003155,83.66016
Dec,8,2000,10,30.093107,83.593107
Jul,12,1991,24,43.218387,83.531958
Nov,26,2004,5.5,3.629758,83.529758
Jul,4,1980,3.5,83.453539,83.453539
Nov,13,1940,2.28,83.32,83.32
Oct,6,1995,50,30.306268,83.306268
Apr,6,2001,30,52.990775,83.282296
Sep,19,1997,35,63.826569,83.226569
Jul,29,2005,35,63.939454,83.109359
Dec,29,1995,11,39.387284,83.088295
Mar,2,2007,85,33.080084,83.080084
May,30,2008,9,52.59761,83.051676
Feb,3,2017,25,27.793018,82.99146
Jun,27,2003,8,45.064915,82.955633
Aug,31,2012,14,49.130588,82.925064
Jan,29,2010,60,43.31389,82.812456
Feb,24,2012,12,70.012847,82.497035
May,8,2015,11,0,82.43867
Oct,18,2013,30,35.266619,82.40952
Nov,10,2000,32,48.814909,82.339483
Feb,18,2011,32,37.915414,82.33245
Jan,6,2006,4.8,47.326473,82.24111
Apr,25,2003,28,52.131264,82.183683
Nov,6,1998,25,30.082699,82.150642
Feb,19,2002,60,43.061982,82.150183
May,14,2010,30,53.032453,82.148538
Jul,23,2004,100,40.202379,82.145379
Dec,18,1969,8,22.8,82
Nov,18,1988,12.3,48.092846,81.972846
Aug,21,2015,35,22.46745,81.96745
Oct,21,2016,9,35.144505,81.831866
Apr,20,2007,16,23.618786,81.742618
Jul,20,1988,30,38.413606,81.613606
Jan,1,1970,3.5,81.6,81.6
May,29,1998,30,60.110313,81.529
Mar,16,2007,20,47.852604,81.461343
Dec,9,2011,21,24.149393,81.452811
Aug,18,2010,20,36.661504,81.424988
Apr,26,2013,26,49.875291,81.275291
Aug,15,1979,31.5,78.8,81.250488
Jan,27,2012,25,51.580136,81.249176
Dec,27,1991,11,81.20483,81.20483
Mar,23,1984,4.5,81.198894,81.198894
Feb,9,2007,2,11.284657,81.197047
Oct,5,2012,39,35.287788,81.150788
Mar,20,2009,60,40.572825,81.079566
Sep,26,2003,85,47.641743,80.831893
Jul,2,2003,60,26.483452,80.767884
Aug,19,2011,27,38.536376,80.681183
Jul,6,2012,45,47.3231,80.59486
Feb,9,2007,50,27.669725,80.583311
Jan,1,1971,9,80.5,80.5
Mar,29,2002,22,75.600072,80.491516
Dec,18,2009,58,29.580087,80.480566
Dec,18,2009,58,29.580087,80.480566
Oct,19,2007,30,39.568996,80.276156
Sep,25,2009,18,22.45551,80.227619
Jan,16,2015,23,64.460211,80.171596
Dec,19,2000,43,51.768623,80.013623
Feb,17,1984,8.2,80,80
Oct,5,1956,13.5,80,80
Mar,16,2001,33,51.758599,79.958599
Sep,14,2007,32,10.977721,79.915361
Dec,12,1986,12,79.817937,79.817937
Dec,26,2008,45,22.95134,79.60482
Feb,27,2004,6.4,4.063859,79.384539
Mar,21,2014,55,51.178893,79.312301
Mar,21,2014,55,51.178893,79.312301
Oct,25,2002,5,64.282312,79.282312
Dec,28,2007,4,7.159147,79.250193
May,14,1982,20,38.264085,79.114085
Jul,19,2013,130,33.618855,79.076678
Mar,15,2002,85,37.948765,78.948765
Apr,8,1964,2,24.8,78.9
Jul,24,2009,20,41.596251,78.769428
Apr,7,2017,24,45.018541,78.714211
Mar,22,1991,25,78.656813,78.656813
Apr,8,2016,29,63.07756,78.652395
Apr,12,2013,20,32.015787,78.613981
Sep,12,2008,60,40.08141,78.48141
Aug,22,2014,11,50.474843,78.35617
Feb,8,2002,85,40.048332,78.353508
Feb,29,2008,40,26.814957,78.26997
Jan,9,2009,16,42.67041,78.208812
Oct,23,2015,10,18.297124,78.096553
Apr,21,2006,60,36.280697,78.080697
Sep,16,2011,15,35.060689,78.054825
Oct,26,1984,6.4,38.019031,78.019031
Nov,18,2016,8.5,47.695371,77.761947
Oct,7,2011,23,40.962534,77.735925
Mar,11,2005,75,34.636443,77.636443
Apr,28,2006,18,31.567134,77.635035
Jun,14,2002,115,40.914068,77.628265
Feb,23,2007,32,35.193167,77.593167
Jun,26,1998,48,37.562568,77.562568
Aug,19,2016,55,48.023088,77.548564
Aug,19,2016,55,48.023088,77.548564
Aug,31,2007,15,58.269151,77.514401
Oct,5,2001,28,50.25531,77.477297
Mar,26,2004,35,39.692139,77.392139
Aug,3,2012,22,49.008662,77.229695
Nov,22,1995,68,35.324232,77.224232
Aug,15,2008,35,30.691439,77.220596
Dec,26,2007,25,40.222514,77.208711
Nov,26,2003,18,60.060328,77.147031
Sep,13,2002,12,75.781642,77.063461
Mar,19,2010,15,64.003625,76.954311
Dec,21,2006,45,6.566773,76.904429
Jan,14,2005,45,67.264877,76.665507
Jun,22,1979,8,76.657,76.657
Apr,2,2004,110,50.026353,76.482461
Jul,29,2005,138,32.116746,76.416746
Jan,28,2011,42.5,29.121498,76.347393
Jun,3,1987,25,76.270454,76.270454
Oct,24,2014,30,43.037835,76.235001
Sep,17,2010,8,58.401464,76.200721
Nov,8,2013,19,21.488481,76.086711
Aug,21,2013,60,31.165421,75.965567
Jul,8,2016,33,46.009673,75.909673
Aug,16,1996,45,53.854588,75.854588
Mar,5,1999,11,38.230075,75.803716
Dec,22,2000,26,45.506619,75.763814
Mar,21,2003,68,33.685268,75.685268
Jan,12,2007,14,61.356221,75.525718
Sep,25,1992,40,75.505856,75.505856
Oct,16,2015,55,31.09032,75.466595
Oct,16,2015,55,31.09032,75.466595
Jan,25,2002,40,54.228104,75.38909
Apr,23,2010,35,37.490007,75.281179
Oct,12,2007,55,16.28524,74.870866
Oct,12,2007,55,16.28524,74.870866
Dec,25,1991,30,74.787599,74.787599
Dec,25,1997,12,39.673162,74.727492
Jan,24,2014,65,19.07529,74.57529
Mar,12,2003,5.6,32.543449,74.566042
Jun,3,1983,12,74.433837,74.433837
Jun,22,2012,21.5,16.684352,74.326015
Dec,14,2007,20,15.800078,74.180745
Feb,15,2013,40,57.012977,74.15661
Mar,28,2003,85,31.11126,74.132631
Aug,28,2015,3,67.790117,73.975239
Apr,24,2009,20,68.261644,73.964713
Dec,29,1999,38,50.699241,73.956241
Jun,7,2002,27,69.586544,73.826768
Mar,16,2016,13,61.705123,73.79872
Mar,25,2011,18,52.698535,73.695194
Apr,16,1999,75,64.062587,73.521587
Apr,25,2014,28,20.396829,73.421224
Mar,30,1988,15,73.326666,73.326666
Oct,12,2012,42,45.290318,73.239258
Oct,21,2016,20,73.206343,73.206343
Dec,15,2000,13,46.729374,73.180297
Mar,28,2008,35,26.63852,73.026302
Nov,18,1959,15,73,73
Nov,15,2013,17,70.525195,72.83571
Jul,21,2006,75,42.285169,72.785169
Nov,2,2001,49,43.905746,72.689126
Sep,25,1998,14,38.116707,72.571864
Mar,19,2004,20,34.366518,72.570762
Aug,22,2008,65,36.316032,72.516819
Nov,23,2005,45,53.359917,72.359917
Aug,26,2011,40,36.665854,72.295262
Oct,22,1964,17,72,72.070955
Jun,16,2004,110,24.004159,72.004159
Jul,31,2009,72.5,51.855045,71.880305
Jul,10,1998,40,55.143823,71.743823
Apr,7,2000,60,61.322858,71.719931
Dec,31,2010,25,0,71.594792
Jul,19,1996,3.1,16.501785,71.558971
Oct,12,2001,75,41.523271,71.523271
Oct,2,1998,80,55.485043,71.485043
Dec,14,2001,28,52.353636,71.430876
Aug,22,2008,25,48.237389,71.390601
Apr,18,2003,20,67.383924,71.232214
May,26,2000,55,56.932305,71.189835
May,26,2000,55,56.932305,71.189835
Feb,16,2001,30,64.172251,71.172251
Sep,7,2007,48,53.606916,71.171825
Apr,29,2005,60,26.873932,71.073932
Oct,25,2013,25,16.973715,71.009334
Nov,16,2012,49,12.816367,71.004627
Jun,12,1963,42,57,71
Feb,28,2014,22,59.700064,70.949793
Dec,25,2001,48,47.095453,70.937778
Feb,12,1993,14.6,70.906973,70.906973
Nov,9,2001,40,70.836296,70.836296
Oct,13,2006,20,39.143839,70.743839
Apr,13,2012,30,42.073277,70.742948
Feb,1,2008,6.5,65.281781,70.712099
Sep,25,1998,55,41.610884,70.692101
Sep,25,1998,55,41.610884,70.692101
Aug,27,2010,32,57.74472,70.587268
Jan,19,2018,30,44.789259,70.553347
Jan,14,2011,70,48.47529,70.546865
Nov,22,2013,22,30.659817,70.53687
Mar,10,2006,17,41.778863,70.355813
Aug,27,2004,25,31.526393,70.326393
Aug,29,2008,45,22.532572,70.216497
Jun,9,1989,30,52.210049,70.2
Jul,3,2007,35,43.799818,70.187088
Aug,27,2010,1.8,41.03435,70.1659
Jul,16,2004,19,51.438175,70.164105
May,6,2005,35,32.0648,70.0648
Jun,20,2014,24,65.028687,70.027933
Dec,20,1989,14,70.001698,70.001698
Oct,17,1978,0.325,47,70
Dec,16,1962,15,37.495385,69.995385
Oct,10,1980,15,69.847348,69.847348
Dec,25,2006,76,35.552383,69.845011
Sep,3,2004,12.5,1.110186,69.826708
Mar,15,2013,12.8,51.872378,69.821476
Dec,25,2013,40,29.80726,69.80726
Nov,26,2004,55,6.167817,69.759296
Nov,26,2004,55,6.167817,69.759296
Oct,23,2009,11,27.693292,69.752402
Jul,23,1982,20.5,69.701637,69.701637
Sep,4,2015,22,16.02967,69.698495
Jul,7,2000,65,69.688384,69.688384
Jun,5,2009,100,49.43837,69.548641
Feb,2,2007,39,42.67404,69.538833
Jun,7,2002,70,30.157016,69.157016
Nov,25,1998,80,18.31986,69.13186
Apr,24,2015,30,42.629776,69.057415
Jun,27,2014,8,16.170632,68.838736
Nov,6,2009,10,47.566524,68.722848
Oct,19,2001,35,31.598308,68.712365
Apr,2,1968,10.5,56.7,68.7
Aug,15,2008,8.5,35.161554,68.695443
Aug,15,2003,26,58.331254,68.613992
May,25,2012,16,45.512466,68.582095
Aug,30,2013,10,28.873374,68.541786
Oct,26,2001,19,41.86796,68.46796
Apr,6,2001,3,17.052128,68.452128
Oct,25,2002,20,30.113491,68.349884
Oct,16,1998,60,46.850558,68.336997
Nov,12,2010,10,21.416355,68.264973
Jan,22,2016,10,35.819556,68.220952
Jul,25,2008,35,20.982478,68.170792
Apr,28,2000,31,44.983704,68.079671
Sep,1,2010,20,35.606376,67.950723
Dec,20,2006,13,13.756082,67.867998
May,2,1997,18,53.883989,67.683989
Jan,22,2010,26,40.16808,67.647574
Nov,6,2009,24,32.428195,67.348218
Dec,13,2002,60,43.254409,67.312826
Nov,19,2010,30,21.148651,67.255916
Feb,3,2006,15,47.860214,67.215435
Feb,4,2005,20,46.752382,67.192859
Mar,7,1980,15,67.182787,67.182787
Jul,27,2012,55,34.353,67.130045
Jul,27,2012,55,34.353,67.130045
Jul,18,2008,37,30.105968,67.029956
Mar,13,2015,50,26.461644,66.961644
Jun,29,2012,20,65.653242,66.950887
Nov,22,2000,85,66.941559,66.941559
Apr,12,2002,45,66.790248,66.790248
Oct,2,1992,42,19.487173,66.787173
Jan,9,2015,20,52.076908,66.776908
Feb,8,2013,30,32.172757,66.742138
Jan,23,2009,60,17.303424,66.655938
Dec,22,2000,80,34.566746,66.554547
Dec,25,1990,54,66.520529,66.520529
Dec,25,1990,54,66.520529,66.520529
Mar,7,2008,20,30.06066,66.143005
Nov,21,2007,25,31.664162,66.015869
Mar,26,2010,36,50.269859,65.96775
Feb,6,2004,18,65.070412,65.842412
Feb,16,2001,40,25.288103,65.754228
Jul,19,2002,90,35.168966,65.716126
Jul,31,1998,26,65.705772,65.705772
Mar,31,2000,95,50.802661,65.7
Mar,3,2006,45,36.895141,65.595141
Feb,8,1985,12,65.532576,65.532576
Feb,19,2010,45,15.541549,65.532491
Apr,11,2008,20,26.418667,65.457811
Sep,23,2011,70,25.124986,65.409046
Apr,7,2006,30,34.742066,65.390493
Apr,8,2011,30,40.259119,65.343694
Oct,21,2016,1.5,27.854931,65.339156
Feb,28,1997,35,41.954997,65.303052
Jun,20,2014,40,47.047013,65.282732
Sep,28,2007,15,4.604982,65.261291
Aug,20,2004,30,58.156435,65.12128
Oct,29,1999,19,40.846082,65.090541
May,6,2011,35,39.046489,65.084116
Apr,7,2006,35,59.843754,65.063726
May,11,2010,16,0,64.733391
Jul,18,1997,25,44.480039,64.594061
Mar,29,2013,50,26.623701,64.477051
Feb,6,2004,28,64.378093,64.474705
Dec,25,2009,30,7.689607,64.352607
Dec,25,1997,15,43.05747,64.252038
Dec,24,2003,5,34.46921,64.240813
May,11,2007,15,28.638916,64.232714
Aug,19,2005,35,19.478106,64.188387
Feb,5,2016,22,30.080225,64.171419
Apr,25,2008,30,60.494212,64.170447
Nov,5,1993,15,22.954968,63.954968
Apr,10,2015,34,37.446117,63.802928
Apr,5,2002,42,41.543207,63.7811
Mar,21,2014,1.15,60.755732,63.777092
Aug,15,1997,15,44.906632,63.706632
Dec,12,2003,55,33.832741,63.537164
Dec,12,2003,55,33.832741,63.537164
Dec,29,2004,26,45.489752,63.489752
Jan,29,1999,10,63.465522,63.465522
Dec,22,1989,55,63.408614,63.408614
Dec,22,1989,55,63.408614,63.408614
Aug,19,2011,90,21.295021,63.356133
Sep,17,2010,10,33.679655,63.354114
Feb,24,2006,10,63.25794,63.320521
Nov,9,2007,35,14.99807,63.211088
Oct,8,1999,64,31.054924,63.2
Aug,16,2013,28,28.795985,63.129909
Dec,20,1996,12,63.118386,63.118386
Apr,12,2002,43,24.430272,63.078756
Oct,14,2011,24,51.802742,62.989834
Apr,17,2015,1,32.789645,62.869004
Dec,25,2011,34.8,21.443494,62.831715
Dec,8,2000,65,32.598931,62.761005
Dec,5,2003,18,30.272254,62.646763
Mar,9,1984,8,62.599495,62.599495
Nov,25,1992,4,62.546695,62.546695
Jan,1,1970,12,62.5,62.5
Feb,11,2000,13,60.008303,62.452927
Jul,3,2002,30,51.432423,62.432423
Dec,14,2001,15,37.882551,62.401343
Apr,5,2007,40,25.126214,62.226214
Jun,25,2004,72,19.176754,62.176754
Sep,19,2014,28,26.017685,62.108587
Aug,17,2001,57,25.528495,62.097495
Aug,17,2001,57,25.528495,62.097495
Nov,4,2015,11,38.322743,62.076141
Apr,14,2000,43,37.035515,62.063972
Aug,18,2006,33,34.020814,62.020814
Nov,17,2017,20,40.847995,62.005389
Oct,8,2004,30,61.255921,61.95077
Dec,19,1997,38,61.894591,61.894591
Sep,25,1981,5.5,61.558162,61.865947
Dec,4,2015,15,42.725475,61.788393
May,27,2011,35,13.305665,61.721826
Aug,27,1999,125,32.698899,61.698899
Jan,13,2017,125,33.370166,61.681268
Jul,27,2016,20,38.583626,61.680792
Apr,27,2012,30,28.700285,61.623819
Sep,23,2005,32,31.493782,61.477797
Sep,10,2004,45,32.00362,61.475984
Jul,1,2011,30,35.608245,61.449135
Jul,29,1983,15,61.4,61.4
Aug,10,1990,26,61.308153,61.308153
Sep,30,2015,35,10.161183,61.197045
Jun,15,2012,70,38.518613,61.031932
Dec,31,2007,17.5,0,60.865364
Oct,20,2006,40,15.962471,60.862471
Apr,2,2010,20,60.095852,60.831067
Sep,28,2001,28,45.17225,60.780981
Jul,21,2006,30,22.530295,60.772856
Dec,20,2002,25,40.108697,60.694737
Dec,31,2012,77.6,0,60.680125
Nov,1,2013,5,27.298285,60.611845
Oct,3,1997,27,60.527873,60.527873
Oct,4,2013,30,19.316646,60.51268
Jan,1,2000,80,60.507228,60.507228
Sep,16,2005,42,24.149632,60.437727
Mar,31,1999,13,38.177966,60.414025
Oct,8,2010,35,59.699513,60.376247
Feb,14,2013,50,19.452138,60.282876
Nov,1,2002,70,33.561137,60.279822
Sep,11,2015,18,57.027435,60.274336
Nov,5,1999,68,28.965197,60.265197
Nov,5,2010,18,18.33523,60.217171
Aug,2,1996,55,21.226204,60.209334
Aug,2,1996,55,21.226204,60.209334
Nov,7,1963,9.4,46.3,60
Oct,7,1960,12,30,60
Jun,17,1983,39,59.950623,59.950623
Jan,11,2013,2.5,40.041683,59.922558
Feb,18,2005,100,17.018422,59.918422
Nov,10,2010,40,31.011732,59.79507
May,9,1980,0.55,39.754601,59.754601
Jan,12,2000,9.5,57.176582,59.675307
Nov,21,2003,20,16.248701,59.667625
May,8,1963,1,16.067035,59.567035
Nov,3,2017,10,48.527838,59.556038
Jul,31,2009,45,25.200412,59.551283
Nov,23,1988,32,59.450353,59.450353
Apr,28,2000,58,35.231365,59.431365
Apr,28,2000,58,35.231365,59.431365
Sep,21,2007,25,35.017297,59.183821
Aug,19,2011,15,13.843771,59.168692
Aug,7,2015,5,43.787265,58.978653
Jan,10,2014,70,18.848538,58.953319
Aug,31,2001,10,37.904175,58.939035
Nov,30,2001,40,58.855732,58.855732
Apr,24,1998,6,11.9112,58.809149
May,5,2017,23,0,58.807172
Sep,14,2012,37.5,16.247159,58.792011
Aug,9,1996,45,58.617334,58.617334
Sep,15,1989,19,58.571513,58.571513
Nov,11,2005,65,28.04554,58.54554
Aug,25,2006,40,57.806952,58.501127
Jul,29,2005,35,43.894863,58.405313
Mar,10,2000,38,18.653746,58.394308
Jan,19,2018,35,45.24115,58.326445
Nov,10,2000,80,39.442871,58.270391
Dec,12,1997,40,44.212592,58.250151
Oct,11,2002,3,21.576018,58.240487
Mar,14,2003,25,47.54506,58.240458
Apr,10,2009,30,9.362785,58.22846
Jun,15,2012,57.5,36.931089,58.085235
Jun,15,2012,57.5,36.931089,58.085235
Nov,27,1991,16.5,58.011485,58.011485
Aug,11,2017,40,28.370522,58.010968
Aug,23,2013,38.6,6.594959,57.987299
Feb,22,2013,15,42.930462,57.907734
May,12,2017,42,45.852178,57.852177
Sep,12,2014,36,42.024533,57.824533
Mar,23,2001,38,40.334024,57.753825
Jun,19,2009,60,43.337279,57.604723
Sep,21,2012,15,41.003371,57.586606
Feb,1,2008,12,31.418697,57.577765
Nov,11,2005,22,36.020063,57.520063
Sep,26,2003,18,43.601508,57.490024
Apr,21,1989,11.5,57.469179,57.469179
Oct,7,1994,45,57.362581,57.362581
Dec,11,1974,13,57.3,57.3
Nov,26,2008,20,31.841299,57.293371
Jul,11,2014,4,25.379975,57.273049
Jan,26,2007,17,35.662731,57.26344
Jun,20,1980,27,57.22989,57.22989
Apr,11,2008,18,43.86935,57.193655
Nov,21,2007,13,25.593755,57.189408
Aug,4,2006,7,26.024456,57.051053
Feb,15,2002,12,37.188667,57
Mar,13,1998,35,56.968169,56.968169
Jan,14,2005,65,24.409722,56.824633
Sep,21,2007,20,18.354356,56.82296
Apr,1,2015,11,33.307793,56.758138
Dec,25,1998,60,56.709981,56.709981
Jul,1,1995,13.7,56.598476,56.598476
Oct,7,2005,7,31.501218,56.586901
Mar,12,2010,16,19.06824,56.50612
Dec,25,1993,25,56.505065,56.505065
Feb,26,2010,19,39.123589,56.445534
Jan,25,2002,42,35.228696,56.438555
Feb,28,2003,25,34.657731,56.434942
Dec,13,2002,20,56.398162,56.398162
Mar,9,2001,42,24.375436,56.331864
Jul,12,1991,6.5,56.190094,56.200634
Jan,11,2013,11,18.388357,56.178935
Oct,25,2002,12,25.885,56.131239
Sep,14,2007,50,17.181265,56.077088
Jan,23,1998,25,29.342592,56.042592
Aug,12,2016,29,27.38377,56.017691
Oct,26,2012,20,17.530219,55.975672
Oct,12,2007,15,55.204525,55.934178
Feb,26,2010,37,44.875481,55.90991
May,13,2005,45,52.842724,55.842724
Jun,1,2001,22,55.762229,55.762229
Oct,20,2000,40,33.508922,55.696705
Feb,11,2005,20,18.098433,55.686944
May,3,1996,15,24.769466,55.669466
Feb,14,2008,7,32.241649,55.617866
Mar,20,1998,20,29.795299,55.576699
May,2,2003,15,42.734455,55.534455
Feb,23,2018,37,39.340632,55.533739
Aug,6,2004,0.5,30.500882,55.518641
Apr,7,2006,27,22.495466,55.495466
Jun,13,2003,25,39.402572,55.443032
Feb,12,2016,50,28.848693,55.348693
Oct,12,2007,28,28.563179,55.307857
Mar,17,2006,25,33.889159,55.279608
Aug,15,2012,40,51.85345,55.249159
Dec,25,2011,40,31.847881,55.247881
Nov,20,1998,3,24.793251,55.193251
Aug,15,2014,25,45.090374,55.090374
Aug,5,1998,17,55.041738,55.041738
Apr,20,1979,1.5,5.1,55
Dec,6,2002,60,32.122249,54.994757
Jun,16,2017,45,44.922302,54.876855
